net,length_um
clknet_0_clk,814.865µm
net695,629.24µm
net626,594.4µm
clknet_3_6__leaf_clk,468.4µm
clknet_3_5__leaf_clk,457.49µm
net1,448.58µm
clknet_3_2__leaf_clk,443.36µm
clknet_3_4__leaf_clk,403.44µm
clknet_3_3__leaf_clk,394.995µm
clknet_3_1__leaf_clk,385.34µm
clknet_3_7__leaf_clk,375.56µm
clk,374.26µm
net660,345.67µm
clknet_3_0__leaf_clk,317.315µm
net614,301.725µm
net615,299.92µm
net637,299.54µm
net680,296.26µm
net630,279.58µm
net659,262.975µm
net611,252.9µm
net623,249.91µm
net432,246.25µm
net434,243.3µm
net597,242.52µm
net603,239.38µm
net688,235.92µm
net636,233.935µm
net318,227.635µm
net289,227.285µm
net605,223.015µm
net669,218.04µm
net613,212.84µm
net416,210.8µm
net427,209.02µm
net578,203.865µm
net631,200.94µm
net599,198.395µm
net313,198.22µm
net592,196.375µm
mac_data_in1\[1\],193.885µm
net624,193.26µm
net622,189.97µm
net519,189.96µm
net411,188.28µm
mac_acc_in1\[78\],188.02µm
net647,187.42µm
net601,186.28µm
net312,184.935µm
net546,184.7µm
net646,183.295µm
net547,183.16µm
net596,182.88µm
net418,182.41µm
net186,182.36µm
net205,182.02µm
net569,181.82µm
net577,179.075µm
mac_wt_in2\[23\],178.28µm
net575,176.83µm
net184,176.6µm
net378,176.485µm
net286,176.225µm
net215,176.14µm
net198,176.07µm
net625,174.37µm
net315,173.74µm
net609,173.28µm
net665,172.3µm
_00051_,171.685µm
net573,171.5µm
net612,171.06µm
net372,170.96µm
net284,170.67µm
net399,170.56µm
net402,170.415µm
net468,170.24µm
net388,170.055µm
net257,169.235µm
net618,168.85µm
net395,168.11µm
net290,167.96µm
net377,167.96µm
net369,167.12µm
net415,167.095µm
net282,166.355µm
net160,166.075µm
net190,165.62µm
net627,165.035µm
net645,163.84µm
net683,163.76µm
mac_data_in3\[0\],163.36µm
mac_acc_in1\[77\],163.16µm
net493,163.02µm
net425,162.635µm
net367,162.6µm
net694,162.44µm
net390,161.46µm
net658,160.795µm
net684,160.42µm
net344,158.1µm
net310,157.84µm
net550,157.76µm
net481,157.25µm
net513,156.955µm
net600,156.92µm
net412,155.97µm
net33,155.445µm
net19,155.415µm
net635,155.1µm
net364,155.08µm
net620,155.03µm
net518,155.025µm
net591,154.77µm
net200,153.915µm
net516,152.78µm
net508,152.14µm
net457,151.855µm
net594,151.59µm
net593,151.32µm
net420,151.285µm
net579,151.03µm
net288,150.85µm
net272,150.32µm
mac_data_in1\[22\],150.08µm
net462,149.15µm
net634,149.1µm
net203,148.34µm
net287,148.275µm
net392,148µm
net590,147.84µm
_00019_,146.58µm
net159,146.36µm
net339,145.725µm
net221,145.54µm
net196,145.2µm
net534,145.09µm
net668,144.985µm
net333,144.92µm
net256,144.79µm
net650,144.48µm
net673,143.7µm
net585,143.605µm
net563,142.295µm
net459,142.265µm
net549,142.22µm
net255,142µm
net679,141.675µm
net561,140.935µm
net162,140.88µm
net674,140.53µm
net525,140.52µm
net366,140.215µm
net212,140.02µm
net182,140µm
net218,139.65µm
mac_wt_in3\[6\],139.48µm
net188,139.43µm
net158,139.38µm
net672,139.36µm
net488,139.35µm
net506,138.79µm
net477,138.695µm
net559,138.245µm
net253,138.04µm
net210,137.6µm
net407,137.39µm
net610,136.98µm
net192,136.86µm
net523,136.615µm
net208,136.32µm
net495,136.05µm
net616,135.06µm
_00556_,135.04µm
net498,134.555µm
net263,134.42µm
net458,134.26µm
mac_wt_in1\[26\],134.15µm
mac_data_in3\[1\],133.92µm
net530,133.59µm
net475,133.24µm
_00018_,132.635µm
net403,131.76µm
net285,131.71µm
net566,131.52µm
net451,131.19µm
net463,130.76µm
net21,130.4µm
net440,130.12µm
net691,130.1µm
net511,129.82µm
net643,129.6µm
net368,129.215µm
net504,129.19µm
_00559_,129.18µm
net595,128.48µm
net533,128.31µm
net65,128.16µm
mac_wt_in3\[29\],128.105µm
net64,127.48µm
net271,127.34µm
net520,126.86µm
_00033_,126.655µm
net230,126.44µm
net486,125.8µm
clknet_leaf_18_clk,125.62µm
_00032_,125.375µm
net461,125.1µm
mac_wt_in1\[2\],124.515µm
net568,123.385µm
net517,123.23µm
net380,123.1µm
_00023_,122.555µm
net10,122.525µm
net330,121.985µm
_00039_,121.15µm
net181,121.08µm
net353,120.855µm
net316,120.8µm
_00000_,120.76µm
net570,120.64µm
net544,120.47µm
mac_data_in1\[2\],120.24µm
net370,120.18µm
net501,119.96µm
mac_wt_in3\[19\],119.7µm
net275,119.415µm
net693,119.32µm
mac_wt_in1\[18\],119.16µm
net604,118.9µm
net179,118.835µm
net430,118.64µm
mac_data_in2\[8\],118.32µm
mac_wt_in1\[15\],118.31µm
net524,118.1µm
net268,118.02µm
net409,117.26µm
net542,117.1µm
net565,116.72µm
net466,116.66µm
net445,116.565µm
net443,116.14µm
net328,115.9µm
net204,115.45µm
_00022_,114.98µm
net223,114.71µm
net503,114.46µm
net398,114.37µm
net555,114.37µm
net405,114.05µm
net400,113.98µm
net424,113.84µm
mac_wt_in3\[5\],113.71µm
net375,112.78µm
_00055_,112.605µm
net219,112.5µm
net510,112.48µm
net283,112.19µm
net194,111.98µm
net269,111.81µm
net484,111.74µm
net572,111.63µm
net314,110.975µm
net304,110.84µm
net431,110.83µm
net489,110.65µm
net361,110.53µm
mac_acc_in1\[73\],110.5µm
_00035_,110.45µm
net664,110.44µm
mac_data_in2\[1\],110.08µm
_00049_,109.82µm
_00470_,109.8µm
clknet_leaf_57_clk,109.76µm
net414,109.72µm
net295,109.67µm
net456,109.61µm
net359,109.425µm
net553,108.97µm
net342,108.925µm
net262,108.92µm
net355,108.735µm
net586,108.48µm
mac_acc_in1\[44\],108.18µm
net472,108.18µm
net20,108.14µm
net382,108.06µm
net373,107.78µm
net197,107.705µm
net244,107.705µm
net692,107.7µm
net11,107.6µm
net351,107.34µm
_00448_,107.14µm
mac_data_in1\[24\],106.93µm
net483,106.76µm
net654,106.44µm
net300,106.24µm
mac_data_in2\[24\],106.095µm
net641,105.975µm
mac_wt_in3\[16\],105.97µm
clknet_leaf_50_clk,105.74µm
clknet_leaf_7_clk,105.46µm
net640,105.44µm
net482,105.1µm
net260,105µm
net235,104.9µm
net396,104.7µm
net298,104.52µm
net340,104.37µm
net386,104.37µm
_00034_,104.18µm
net214,104.165µm
_00016_,104.12µm
net619,104.12µm
mac_data_in2\[10\],103.83µm
mac_wt_in1\[21\],103.7µm
net357,103.52µm
net258,103.51µm
net435,103.44µm
net168,103.42µm
net299,103.3µm
net502,103.215µm
net292,103.16µm
net233,103.125µm
net322,103.1µm
net41,103.09µm
net349,103.09µm
net470,102.78µm
net447,102.495µm
net639,102.48µm
net345,101.98µm
_00405_,101.955µm
net185,101.925µm
net428,101.905µm
net617,101.81µm
net329,101.805µm
net171,101.74µm
mac_data_in1\[16\],101.66µm
u_MAC14.mac_weight\[4\],101.47µm
net326,101.22µm
net199,100.56µm
_00017_,100.525µm
net363,100.5µm
net515,100.36µm
net296,100.145µm
net629,99.98µm
net526,99.845µm
net401,99.84µm
net347,99.64µm
net350,99.36µm
mac_wt_in2\[22\],99.235µm
clknet_leaf_25_clk,99.16µm
net280,99.135µm
net436,99.065µm
net374,99µm
net429,99µm
net394,98.8µm
net571,98.685µm
net42,98.56µm
net294,98.3µm
net642,98.22µm
net426,97.845µm
net583,97.78µm
clknet_leaf_43_clk,97.78µm
net337,97.4µm
_00054_,97.085µm
net666,96.82µm
net211,96.625µm
mac_data_in1\[17\],96.62µm
net311,96.39µm
net201,96.005µm
net632,95.96µm
net557,95.88µm
net455,95.86µm
net404,95.7µm
net656,95.58µm
net242,95.53µm
net512,95.5µm
net175,95.19µm
net567,95.115µm
net384,95.1µm
net241,95µm
mac_acc_in1\[39\],94.775µm
net452,94.76µm
clknet_leaf_56_clk,94.46µm
net661,94.22µm
net302,94.055µm
net365,93.82µm
net187,93.77µm
net176,93.7µm
net480,93.635µm
_00558_,93.4µm
net306,93.39µm
net606,93.12µm
net231,93.085µm
u_MAC14.mac_weight\[6\],93µm
net541,92.58µm
_00372_,92.565µm
net681,92.48µm
net607,92.42µm
clknet_leaf_6_clk,92.32µm
mac_acc_in2\[38\],92.22µm
net433,92.125µm
net3,91.9µm
mac_data_in1\[21\],91.68µm
net686,91.68µm
_00119_,91.645µm
mac_data_in2\[16\],91.64µm
mac_data_in3\[28\],91.62µm
net266,91.32µm
net307,91.19µm
net193,90.94µm
net438,90.82µm
net441,90.765µm
net496,90.635µm
mac_data_in1\[13\],90.62µm
net473,90.58µm
net169,90.32µm
mac_wt_in3\[10\],90.2µm
clknet_leaf_75_clk,89.74µm
net166,89.695µm
mac_acc_in2\[39\],89.56µm
net536,89.48µm
net551,89.46µm
net548,89.44µm
mac_acc_in1\[40\],89.36µm
clknet_leaf_37_clk,89.36µm
net4,89.22µm
clknet_leaf_46_clk,88.765µm
net226,88.64µm
net397,88.62µm
net529,88.12µm
net581,88.12µm
net191,88.09µm
net393,88.05µm
net564,87.96µm
u_MAC34.mac_weight\[2\],87.88µm
net497,87.82µm
net154,87.365µm
net562,87.33µm
clknet_leaf_36_clk,87.14µm
net554,86.7µm
_00050_,86.66µm
mac_data_in3\[20\],86.38µm
mac_acc_in1\[41\],86.215µm
net574,86.18µm
net273,85.8µm
_00569_,85.76µm
net183,85.735µm
mac_wt_in2\[21\],85.66µm
net324,85.505µm
net161,85.42µm
u_MAC14.mac_weight\[0\],85.22µm
net331,85.165µm
net474,85.085µm
mac_acc_in1\[69\],85.02µm
mac_data_in2\[9\],84.64µm
net491,84.44µm
