Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_828,VGND,li1,386.8600,391.6800,0.000020
FILLER_139_825,VGND,li1,385.7100,391.6800,0.000020
FILLER_139_822,VGND,li1,384.3300,391.6800,0.000020
FILLER_139_819,VGND,li1,382.9500,391.6800,0.000020
FILLER_139_816,VGND,li1,381.5700,391.6800,0.000020
FILLER_139_813,VGND,li1,380.1900,391.6800,0.000020
FILLER_139_809,VGND,li1,378.3500,391.6800,0.000020
FILLER_139_806,VGND,li1,376.9700,391.6800,0.000020
FILLER_139_803,VGND,li1,375.5900,391.6800,0.000020
FILLER_139_800,VGND,li1,374.2100,391.6800,0.000020
FILLER_139_797,VGND,li1,372.8300,391.6800,0.000020
FILLER_139_794,VGND,li1,371.4500,391.6800,0.000020
FILLER_139_791,VGND,li1,370.0700,391.6800,0.000020
FILLER_139_788,VGND,li1,368.6900,391.6800,0.000020
FILLER_139_785,VGND,li1,367.3100,391.6800,0.000020
FILLER_139_783,VGND,li1,365.9300,391.6800,0.000020
FILLER_139_778,VGND,li1,363.8600,391.6800,0.000020
FILLER_139_775,VGND,li1,362.7100,391.6800,0.000020
FILLER_139_772,VGND,li1,361.3300,391.6800,0.000020
FILLER_139_769,VGND,li1,359.9500,391.6800,0.000020
FILLER_139_766,VGND,li1,358.5700,391.6800,0.000020
FILLER_139_763,VGND,li1,357.1900,391.6800,0.000020
FILLER_139_760,VGND,li1,355.8100,391.6800,0.000020
FILLER_139_757,VGND,li1,354.4300,391.6800,0.000020
FILLER_139_753,VGND,li1,352.5900,391.6800,0.000020
FILLER_139_750,VGND,li1,351.2100,391.6800,0.000020
FILLER_139_747,VGND,li1,349.8300,391.6800,0.000020
FILLER_139_744,VGND,li1,348.4500,391.6800,0.000020
FILLER_139_741,VGND,li1,347.0700,391.6800,0.000020
FILLER_139_737,VGND,li1,344.7700,391.6800,0.000020
FILLER_139_734,VGND,li1,343.8500,391.6800,0.000020
FILLER_139_729,VGND,li1,341.3200,391.6800,0.000020
FILLER_139_727,VGND,li1,340.1700,391.6800,0.000020
FILLER_139_723,VGND,li1,338.3300,391.6800,0.000020
FILLER_139_720,VGND,li1,337.4100,391.6800,0.000020
FILLER_139_716,VGND,li1,335.1100,391.6800,0.000020
FILLER_139_713,VGND,li1,334.1900,391.6800,0.000020
FILLER_139_709,VGND,li1,331.8900,391.6800,0.000020
FILLER_139_706,VGND,li1,330.9700,391.6800,0.000025
FILLER_139_701,VGND,li1,328.4400,391.6800,0.000029
FILLER_139_697,VGND,li1,326.8300,391.6800,0.000033
FILLER_139_694,VGND,li1,325.4500,391.6800,0.000033
FILLER_139_691,VGND,li1,324.0700,391.6800,0.000039
FILLER_139_688,VGND,li1,322.6900,391.6800,0.000039
FILLER_139_685,VGND,li1,321.3100,391.6800,0.000045
FILLER_139_682,VGND,li1,319.9300,391.6800,0.000045
FILLER_139_679,VGND,li1,318.5500,391.6800,0.000050
FILLER_139_676,VGND,li1,317.1700,391.6800,0.000050
FILLER_139_673,VGND,li1,315.7900,391.6800,0.000055
FILLER_139_669,VGND,li1,313.9500,391.6800,0.000060
FILLER_139_666,VGND,li1,312.5700,391.6800,0.000060
FILLER_139_663,VGND,li1,311.1900,391.6800,0.000065
FILLER_139_660,VGND,li1,309.8100,391.6800,0.000065
FILLER_139_657,VGND,li1,308.4300,391.6800,0.000071
FILLER_139_654,VGND,li1,307.0500,391.6800,0.000071
FILLER_139_651,VGND,li1,305.6700,391.6800,0.000076
FILLER_139_648,VGND,li1,304.2900,391.6800,0.000076
FILLER_139_645,VGND,li1,302.9100,391.6800,0.000082
FILLER_139_642,VGND,li1,301.3000,391.6800,0.000082
FILLER_139_639,VGND,li1,300.1500,391.6800,0.000088
FILLER_139_636,VGND,li1,298.7700,391.6800,0.000088
FILLER_139_633,VGND,li1,297.3900,391.6800,0.000093
FILLER_139_630,VGND,li1,296.0100,391.6800,0.000093
FILLER_139_623,VGND,li1,292.7900,391.6800,0.000100
FILLER_139_620,VGND,li1,291.4100,391.6800,0.000104
FILLER_139_617,VGND,li1,290.0300,391.6800,0.000104
FILLER_139_609,VGND,li1,286.3500,391.6800,0.000110
FILLER_139_602,VGND,li1,283.1300,391.6800,0.000112
FILLER_139_595,VGND,li1,279.9100,391.6800,0.000113
FILLER_139_592,VGND,li1,278.5300,391.6800,0.000113
FILLER_139_589,VGND,li1,277.1500,391.6800,0.000113
FILLER_139_585,VGND,li1,275.3100,391.6800,0.000113
FILLER_139_582,VGND,li1,273.9300,391.6800,0.000113
FILLER_139_579,VGND,li1,272.5500,391.6800,0.000114
FILLER_139_576,VGND,li1,271.1700,391.6800,0.000114
FILLER_139_573,VGND,li1,269.7900,391.6800,0.000114
FILLER_139_570,VGND,li1,268.4100,391.6800,0.000114
FILLER_139_567,VGND,li1,267.0300,391.6800,0.000114
FILLER_139_564,VGND,li1,265.6500,391.6800,0.000114
FILLER_139_561,VGND,li1,264.2700,391.6800,0.000115
FILLER_139_553,VGND,li1,260.5900,391.6800,0.000115
FILLER_139_548,VGND,li1,257.8300,391.6800,0.000115
FILLER_139_545,VGND,li1,256.9100,391.6800,0.000114
FILLER_139_542,VGND,li1,255.5300,391.6800,0.000114
FILLER_139_539,VGND,li1,254.1500,391.6800,0.000114
FILLER_139_536,VGND,li1,252.7700,391.6800,0.000114
FILLER_139_533,VGND,li1,251.3900,391.6800,0.000114
FILLER_139_530,VGND,li1,249.7800,391.6800,0.000113
FILLER_139_527,VGND,li1,248.6300,391.6800,0.000113
FILLER_139_524,VGND,li1,247.2500,391.6800,0.000113
FILLER_139_521,VGND,li1,245.8700,391.6800,0.000113
FILLER_139_518,VGND,li1,244.4900,391.6800,0.000113
FILLER_139_511,VGND,li1,241.2700,391.6800,0.000112
FILLER_139_505,VGND,li1,238.2800,391.6800,0.000112
FILLER_139_497,VGND,li1,234.8300,391.6800,0.000111
FILLER_139_482,VGND,li1,227.7000,391.6800,0.000110
FILLER_139_475,VGND,li1,224.2500,391.6800,0.000109
FILLER_139_467,VGND,li1,221.0300,391.6800,0.000109
FILLER_139_464,VGND,li1,219.6500,391.6800,0.000108
FILLER_139_461,VGND,li1,218.2700,391.6800,0.000108
FILLER_139_458,VGND,li1,216.8900,391.6800,0.000108
FILLER_139_455,VGND,li1,215.5100,391.6800,0.000108
FILLER_139_449,VGND,li1,212.5200,391.6800,0.000107
FILLER_139_441,VGND,li1,209.0700,391.6800,0.000104
FILLER_139_377,VGND,li1,179.1700,391.6800,0.000066
FILLER_139_337,VGND,li1,160.7700,391.6800,0.000133
FILLER_139_325,VGND,li1,155.7100,391.6800,0.000146
FILLER_139_299,VGND,li1,143.2900,391.6800,0.000176
FILLER_139_296,VGND,li1,142.3700,391.6800,0.000176
FILLER_139_293,VGND,li1,140.9900,391.6800,0.000182
FILLER_139_290,VGND,li1,139.6100,391.6800,0.000182
FILLER_139_287,VGND,li1,138.2300,391.6800,0.000188
FILLER_139_281,VGND,li1,135.2400,391.6800,0.000192
FILLER_139_279,VGND,li1,134.0900,391.6800,0.000192
FILLER_139_276,VGND,li1,133.1700,391.6800,0.000195
FILLER_139_273,VGND,li1,131.7900,391.6800,0.000195
FILLER_139_267,VGND,li1,128.8000,391.6800,0.000199
FILLER_139_253,VGND,li1,122.1300,391.6800,0.000207
FILLER_139_246,VGND,li1,119.1400,391.6800,0.000207
FILLER_139_243,VGND,li1,117.9900,391.6800,0.000207
FILLER_139_240,VGND,li1,116.6100,391.6800,0.000208
FILLER_139_225,VGND,li1,109.7100,391.6800,0.000205
FILLER_139_213,VGND,li1,104.1900,391.6800,0.000201
FILLER_139_210,VGND,li1,102.8100,391.6800,0.000201
FILLER_139_205,VGND,li1,100.0500,391.6800,0.000199
FILLER_139_191,VGND,li1,93.6100,391.6800,0.000189
FILLER_139_188,VGND,li1,92.6900,391.6800,0.000189
FILLER_139_185,VGND,li1,91.3100,391.6800,0.000184
FILLER_139_182,VGND,li1,89.9300,391.6800,0.000184
FILLER_139_177,VGND,li1,87.1700,391.6800,0.000179
FILLER_139_167,VGND,li1,82.5700,391.6800,0.000168
FILLER_139_161,VGND,li1,80.2700,391.6800,0.000163
FILLER_139_156,VGND,li1,77.5100,391.6800,0.000156
FILLER_139_153,VGND,li1,76.5900,391.6800,0.000150
FILLER_139_150,VGND,li1,75.2100,391.6800,0.000150
FILLER_139_147,VGND,li1,73.8300,391.6800,0.000143
FILLER_139_144,VGND,li1,72.4500,391.6800,0.000143
FILLER_139_141,VGND,li1,71.0700,391.6800,0.000137
FILLER_139_133,VGND,li1,67.3900,391.6800,0.000131
FILLER_139_126,VGND,li1,64.1700,391.6800,0.000122
FILLER_139_116,VGND,li1,59.3400,391.6800,0.000108
FILLER_139_113,VGND,li1,58.1900,391.6800,0.000108
FILLER_139_109,VGND,li1,56.3500,391.6800,0.000103
FILLER_139_106,VGND,li1,54.9700,391.6800,0.000096
FILLER_139_103,VGND,li1,53.5900,391.6800,0.000096
FILLER_139_100,VGND,li1,52.2100,391.6800,0.000089
FILLER_139_97,VGND,li1,50.8300,391.6800,0.000089
FILLER_139_94,VGND,li1,49.4500,391.6800,0.000082
FILLER_139_91,VGND,li1,48.0700,391.6800,0.000082
FILLER_139_88,VGND,li1,46.6900,391.6800,0.000075
FILLER_139_85,VGND,li1,45.3100,391.6800,0.000075
FILLER_139_81,VGND,li1,43.4700,391.6800,0.000071
FILLER_139_78,VGND,li1,42.0900,391.6800,0.000064
FILLER_139_75,VGND,li1,40.7100,391.6800,0.000064
FILLER_139_72,VGND,li1,39.3300,391.6800,0.000057
FILLER_139_69,VGND,li1,37.9500,391.6800,0.000057
FILLER_139_66,VGND,li1,36.5700,391.6800,0.000050
FILLER_139_63,VGND,li1,35.1900,391.6800,0.000050
FILLER_139_60,VGND,li1,33.8100,391.6800,0.000043
FILLER_139_57,VGND,li1,32.4300,391.6800,0.000043
FILLER_139_53,VGND,li1,30.5900,391.6800,0.000039
FILLER_139_50,VGND,li1,29.2100,391.6800,0.000032
FILLER_139_47,VGND,li1,27.8300,391.6800,0.000032
FILLER_139_44,VGND,li1,26.4500,391.6800,0.000025
FILLER_139_41,VGND,li1,25.0700,391.6800,0.000025
FILLER_139_38,VGND,li1,23.6900,391.6800,0.000025
FILLER_139_35,VGND,li1,22.3100,391.6800,0.000025
FILLER_139_32,VGND,li1,20.9300,391.6800,0.000025
FILLER_139_29,VGND,li1,19.5500,391.6800,0.000025
FILLER_139_27,VGND,li1,18.1700,391.6800,0.000025
FILLER_139_24,VGND,li1,17.2500,391.6800,0.000025
FILLER_139_21,VGND,li1,15.8700,391.6800,0.000025
FILLER_139_18,VGND,li1,14.4900,391.6800,0.000025
FILLER_139_15,VGND,li1,13.1100,391.6800,0.000025
FILLER_139_12,VGND,li1,11.7300,391.6800,0.000025
FILLER_139_9,VGND,li1,10.3500,391.6800,0.000025
FILLER_139_6,VGND,li1,8.9700,391.6800,0.000025
FILLER_139_3,VGND,li1,7.5900,391.6800,0.000025
FILLER_138_828,VGND,li1,386.8600,386.2400,0.000038
FILLER_138_825,VGND,li1,385.7100,386.2400,0.000038
FILLER_138_822,VGND,li1,384.3300,386.2400,0.000038
FILLER_138_819,VGND,li1,382.9500,386.2400,0.000038
FILLER_138_816,VGND,li1,381.5700,386.2400,0.000038
FILLER_138_813,VGND,li1,380.1900,386.2400,0.000038
FILLER_138_811,VGND,li1,378.8100,386.2400,0.000038
FILLER_138_808,VGND,li1,377.8900,386.2400,0.000038
FILLER_138_805,VGND,li1,376.5100,386.2400,0.000038
FILLER_138_802,VGND,li1,375.1300,386.2400,0.000038
FILLER_138_799,VGND,li1,373.7500,386.2400,0.000038
FILLER_138_796,VGND,li1,372.3700,386.2400,0.000038
FILLER_138_793,VGND,li1,370.9900,386.2400,0.000038
FILLER_138_790,VGND,li1,369.6100,386.2400,0.000038
FILLER_138_787,VGND,li1,368.2300,386.2400,0.000038
FILLER_138_784,VGND,li1,366.8500,386.2400,0.000038
FILLER_138_781,VGND,li1,365.4700,386.2400,0.000038
FILLER_138_778,VGND,li1,364.0900,386.2400,0.000038
FILLER_138_775,VGND,li1,362.7100,386.2400,0.000038
FILLER_138_772,VGND,li1,361.3300,386.2400,0.000038
FILLER_138_769,VGND,li1,359.9500,386.2400,0.000038
FILLER_138_766,VGND,li1,358.5700,386.2400,0.000038
FILLER_138_763,VGND,li1,357.1900,386.2400,0.000038
FILLER_138_760,VGND,li1,355.8100,386.2400,0.000038
FILLER_138_757,VGND,li1,354.4300,386.2400,0.000038
FILLER_138_755,VGND,li1,353.0500,386.2400,0.000038
FILLER_138_752,VGND,li1,352.1300,386.2400,0.000038
FILLER_138_749,VGND,li1,350.7500,386.2400,0.000038
FILLER_138_746,VGND,li1,349.3700,386.2400,0.000038
FILLER_138_743,VGND,li1,347.9900,386.2400,0.000038
FILLER_138_740,VGND,li1,346.6100,386.2400,0.000038
