Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_828,VPWR,li1,386.8600,388.9600,1.799962
FILLER_139_825,VPWR,li1,385.7100,388.9600,1.799962
FILLER_139_822,VPWR,li1,384.3300,388.9600,1.799962
FILLER_139_819,VPWR,li1,382.9500,388.9600,1.799962
FILLER_139_816,VPWR,li1,381.5700,388.9600,1.799962
FILLER_139_813,VPWR,li1,380.1900,388.9600,1.799962
FILLER_139_809,VPWR,li1,378.3500,388.9600,1.799962
FILLER_139_806,VPWR,li1,376.9700,388.9600,1.799962
FILLER_139_803,VPWR,li1,375.5900,388.9600,1.799962
FILLER_139_800,VPWR,li1,374.2100,388.9600,1.799962
FILLER_139_797,VPWR,li1,372.8300,388.9600,1.799962
FILLER_139_794,VPWR,li1,371.4500,388.9600,1.799962
FILLER_139_791,VPWR,li1,370.0700,388.9600,1.799962
FILLER_139_788,VPWR,li1,368.6900,388.9600,1.799962
FILLER_139_785,VPWR,li1,367.3100,388.9600,1.799962
FILLER_139_783,VPWR,li1,365.9300,388.9600,1.799962
FILLER_139_778,VPWR,li1,363.8600,388.9600,1.799962
FILLER_139_775,VPWR,li1,362.7100,388.9600,1.799962
FILLER_139_772,VPWR,li1,361.3300,388.9600,1.799962
FILLER_139_769,VPWR,li1,359.9500,388.9600,1.799962
FILLER_139_766,VPWR,li1,358.5700,388.9600,1.799962
FILLER_139_763,VPWR,li1,357.1900,388.9600,1.799962
FILLER_139_760,VPWR,li1,355.8100,388.9600,1.799962
FILLER_139_757,VPWR,li1,354.4300,388.9600,1.799962
FILLER_139_753,VPWR,li1,352.5900,388.9600,1.799962
FILLER_139_750,VPWR,li1,351.2100,388.9600,1.799962
FILLER_139_747,VPWR,li1,349.8300,388.9600,1.799962
FILLER_139_744,VPWR,li1,348.4500,388.9600,1.799962
FILLER_139_741,VPWR,li1,347.0700,388.9600,1.799962
FILLER_139_737,VPWR,li1,344.7700,388.9600,1.799962
FILLER_139_734,VPWR,li1,343.8500,388.9600,1.799962
FILLER_139_729,VPWR,li1,341.3200,388.9600,1.799962
FILLER_139_727,VPWR,li1,340.1700,388.9600,1.799962
FILLER_139_723,VPWR,li1,338.3300,388.9600,1.799962
FILLER_139_720,VPWR,li1,337.4100,388.9600,1.799962
FILLER_139_716,VPWR,li1,335.1100,388.9600,1.799962
FILLER_139_713,VPWR,li1,334.1900,388.9600,1.799962
FILLER_139_709,VPWR,li1,331.8900,388.9600,1.799962
FILLER_139_706,VPWR,li1,330.9700,388.9600,1.799962
FILLER_139_701,VPWR,li1,328.4400,388.9600,1.799956
FILLER_139_697,VPWR,li1,326.8300,388.9600,1.799956
FILLER_139_694,VPWR,li1,325.4500,388.9600,1.799949
FILLER_139_691,VPWR,li1,324.0700,388.9600,1.799940
FILLER_139_688,VPWR,li1,322.6900,388.9600,1.799940
FILLER_139_685,VPWR,li1,321.3100,388.9600,1.799933
FILLER_139_682,VPWR,li1,319.9300,388.9600,1.799924
FILLER_139_679,VPWR,li1,318.5500,388.9600,1.799924
FILLER_139_676,VPWR,li1,317.1700,388.9600,1.799918
FILLER_139_673,VPWR,li1,315.7900,388.9600,1.799911
FILLER_139_669,VPWR,li1,313.9500,388.9600,1.799902
FILLER_139_666,VPWR,li1,312.5700,388.9600,1.799902
FILLER_139_663,VPWR,li1,311.1900,388.9600,1.799892
FILLER_139_660,VPWR,li1,309.8100,388.9600,1.799892
FILLER_139_657,VPWR,li1,308.4300,388.9600,1.799881
FILLER_139_654,VPWR,li1,307.0500,388.9600,1.799881
FILLER_139_651,VPWR,li1,305.6700,388.9600,1.799871
FILLER_139_648,VPWR,li1,304.2900,388.9600,1.799871
FILLER_139_645,VPWR,li1,302.9100,388.9600,1.799860
FILLER_139_642,VPWR,li1,301.3000,388.9600,1.799860
FILLER_139_639,VPWR,li1,300.1500,388.9600,1.799852
FILLER_139_636,VPWR,li1,298.7700,388.9600,1.799845
FILLER_139_633,VPWR,li1,297.3900,388.9600,1.799845
FILLER_139_630,VPWR,li1,296.0100,388.9600,1.799836
FILLER_139_623,VPWR,li1,292.7900,388.9600,1.799829
FILLER_139_620,VPWR,li1,291.4100,388.9600,1.799821
FILLER_139_617,VPWR,li1,290.0300,388.9600,1.799821
FILLER_139_609,VPWR,li1,286.3500,388.9600,1.799809
FILLER_139_602,VPWR,li1,283.1300,388.9600,1.799805
FILLER_139_595,VPWR,li1,279.9100,388.9600,1.799802
FILLER_139_592,VPWR,li1,278.5300,388.9600,1.799802
FILLER_139_589,VPWR,li1,277.1500,388.9600,1.799801
FILLER_139_585,VPWR,li1,275.3100,388.9600,1.799800
FILLER_139_582,VPWR,li1,273.9300,388.9600,1.799800
FILLER_139_579,VPWR,li1,272.5500,388.9600,1.799799
FILLER_139_576,VPWR,li1,271.1700,388.9600,1.799799
FILLER_139_573,VPWR,li1,269.7900,388.9600,1.799797
FILLER_139_570,VPWR,li1,268.4100,388.9600,1.799797
FILLER_139_567,VPWR,li1,267.0300,388.9600,1.799796
FILLER_139_564,VPWR,li1,265.6500,388.9600,1.799796
FILLER_139_561,VPWR,li1,264.2700,388.9600,1.799795
FILLER_139_553,VPWR,li1,260.5900,388.9600,1.799794
FILLER_139_548,VPWR,li1,257.8300,388.9600,1.799793
FILLER_139_545,VPWR,li1,256.9100,388.9600,1.799793
FILLER_139_542,VPWR,li1,255.5300,388.9600,1.799793
FILLER_139_539,VPWR,li1,254.1500,388.9600,1.799793
FILLER_139_536,VPWR,li1,252.7700,388.9600,1.799793
FILLER_139_533,VPWR,li1,251.3900,388.9600,1.799793
FILLER_139_530,VPWR,li1,249.7800,388.9600,1.799793
FILLER_139_527,VPWR,li1,248.6300,388.9600,1.799794
FILLER_139_524,VPWR,li1,247.2500,388.9600,1.799794
FILLER_139_521,VPWR,li1,245.8700,388.9600,1.799794
FILLER_139_518,VPWR,li1,244.4900,388.9600,1.799794
FILLER_139_511,VPWR,li1,241.2700,388.9600,1.799795
FILLER_139_505,VPWR,li1,238.2800,388.9600,1.799795
FILLER_139_497,VPWR,li1,234.8300,388.9600,1.799796
FILLER_139_482,VPWR,li1,227.7000,388.9600,1.799797
FILLER_139_475,VPWR,li1,224.2500,388.9600,1.799798
FILLER_139_467,VPWR,li1,221.0300,388.9600,1.799798
FILLER_139_464,VPWR,li1,219.6500,388.9600,1.799798
FILLER_139_461,VPWR,li1,218.2700,388.9600,1.799799
FILLER_139_458,VPWR,li1,216.8900,388.9600,1.799799
FILLER_139_455,VPWR,li1,215.5100,388.9600,1.799799
FILLER_139_449,VPWR,li1,212.5200,388.9600,1.799799
FILLER_139_441,VPWR,li1,209.0700,388.9600,1.799802
FILLER_139_377,VPWR,li1,179.1700,388.9600,1.799860
